QUE-525175Talia Yes           OTHREPAIR 162362Control board failure
ONT-434795Celka Savile        WASREPAIR 261747Compressor making noise
QUE-676574Wylie Cary          ACOREPAIR 223036C
MAX-4085A8Denyse McHan        OTHREPAIR 3H2141Inconsistent heating
ONT-584913Ash Baudoux         OTHREPAIR 437381Unusual vibration observed
ALB-117370Trista Ashcroft     FRGREPAIR 338020Electrical fault detected
QUE-632495Honoria Beckham     OTHREPAIR 327512Electrical fault detected
ONT-594553Thaddeus Cosbee     WASREPAIR 521895Frequent power trips
ALT-780545                    STRREPAIR 101735Broken display panel
ALB-681614Marven Lea          FRGREPAIR 499999Water leakage found
QUE-771360Winnah Clementson   STVREPAIR 389697Frequent power trips
ALB-210434J                   OTHREPAIR 264634Electrical fault detected
QUE-6GHJ63Lorilee Pierce      ACOREPAIR 220887Control board failure
QUE-349365Philippine Sabey    ACOREPAIR 068836Electrical fault detected
QUE-632086Fletcher Jeyes      OTHREPAIR 221785Frequent power trips
QUE-503072Opalina Brumble     WASREPAIR 028701Unit not cooling properly
MAN-035012Brittney Rizzo      STVREPAIR 020801Compressor making noise
ONT-544825Mae Grivori         ACOREPAIR 130398Frequent power trips
MAN-606877Layne Doniso        OTHREPAIR 144245Inconsistent heating
ONT-763351Malachi AntonopoulosOTHREPAIR 201207Unit not cooling properly
ALB-860032Trista Pepi         FRGREPAIR 170734Electrical fault detected
QUE-638160Talia Sabey         OTHREPAIR 346041Electrical fault detected
ALB-899765Brittney Cary       OTHREPAIR 422519Frequent power trips
ALB-639951                    OTHREPAIR 070353Unit not cooling properly
QUE-393861Denyse Busse        WASREPAIR 003208Unusual vibration observed
ALB-105358Jenifer Pierce      FRGREPAIR 001247Water leakage found
MAN-054333Mae Pepi            STVREPAIR 154128Unresponsive control panel
ONT-540382Marven Denkin       ACOREPAIR 408677Control board failure
MAN-999999Ash Stears          ACOREPAIR F79215Unresponsive control panel
ALB-640409Hersch Dantesia     STVREPAIR 182102Control board failure
MAN-A08641Heywood Busse       ACOREPAIR 476350Frequent power trips
QUE-313135Fletcher Dantesia   FRGREPAIR 344457Frequent power trips
MAN-781599Ryan Pavis          FRGREPAIR 213366Frequent power trips
QUE-416439Opalina Baynon      WASREPAIR 348919Control board failure
ONT-699002Thacher Ashcroft    FRGREPAIR 478074Water leakage found
ONT-671218Chalmers Jiru       ACOREPAIR 289404Electrical fault detected
ONT-396284Mae Mockler         STVREPAIR 310832Unit not cooling properly
MAN-649836Leilah Yes          FRGREPAIR 346422Compressor making noise
ONT-692370Wylie Sabey         WASREPAIR 346288Broken display panel
MAN-637824Rowney Dantesia     OTHREPAIR 146004Control board failure
ONT-459602Celka de Glanville  ACOREPAIR 265692Compressor making noise
ALB-896902Waylin Carnoghan    OTHREPAIR 392022Inconsistent heating
MAN-266291Eadmund Sabey       FRGREPAIR 500000Electrical fault detected
ALB-665866Brittney Yes        OTHREPAIR 034444Compressor making noise
